i,sigma_i,sigma_{i+1}/sigma_i,(sigma_{i+1}/sigma_i)^2,sigma_i * (sigma_{i+1}/sigma_i)
1,1.386e+01,9.639e-01,9.290e-01,1.336e+01
2,1.336e+01,9.206e-01,8.475e-01,1.230e+01
3,1.230e+01,9.737e-01,9.480e-01,1.197e+01
4,1.197e+01,9.523e-01,9.070e-01,1.140e+01
5,1.140e+01,9.808e-01,9.620e-01,1.118e+01
6,1.118e+01,9.608e-01,9.231e-01,1.074e+01
7,1.074e+01,9.775e-01,9.556e-01,1.050e+01
8,1.050e+01,9.408e-01,8.851e-01,9.881e+00
9,9.881e+00,9.954e-01,9.907e-01,9.836e+00
10,9.836e+00,9.803e-01,9.611e-01,9.642e+00
11,9.642e+00,9.545e-01,9.111e-01,9.204e+00
12,9.204e+00,9.818e-01,9.639e-01,9.036e+00
13,9.036e+00,9.538e-01,9.097e-01,8.619e+00
14,8.619e+00,9.677e-01,9.364e-01,8.340e+00
15,8.340e+00,9.815e-01,9.634e-01,8.186e+00
16,8.186e+00,9.615e-01,9.245e-01,7.871e+00
17,7.871e+00,9.871e-01,9.743e-01,7.769e+00
18,7.769e+00,9.573e-01,9.164e-01,7.437e+00
19,7.437e+00,9.560e-01,9.139e-01,7.110e+00
20,7.110e+00,9.603e-01,9.223e-01,6.828e+00
21,6.828e+00,9.643e-01,9.299e-01,6.584e+00
22,6.584e+00,9.551e-01,9.122e-01,6.289e+00
23,6.289e+00,9.543e-01,9.106e-01,6.001e+00
24,6.001e+00,9.806e-01,9.616e-01,5.885e+00
25,5.885e+00,9.557e-01,9.134e-01,5.624e+00
26,5.624e+00,9.724e-01,9.455e-01,5.469e+00
27,5.469e+00,9.098e-01,8.277e-01,4.975e+00
28,4.975e+00,9.421e-01,8.875e-01,4.687e+00
29,4.687e+00,9.654e-01,9.319e-01,4.525e+00
30,4.525e+00,9.557e-01,9.134e-01,4.325e+00
31,4.325e+00,9.309e-01,8.667e-01,4.026e+00
32,4.026e+00,9.793e-01,9.591e-01,3.943e+00
33,3.943e+00,9.684e-01,9.378e-01,3.818e+00
34,3.818e+00,9.293e-01,8.635e-01,3.548e+00
35,3.548e+00,9.574e-01,9.166e-01,3.397e+00
36,3.397e+00,9.772e-01,9.550e-01,3.319e+00
37,3.319e+00,8.456e-01,7.150e-01,2.807e+00
38,2.807e+00,9.239e-01,8.537e-01,2.593e+00
39,2.593e+00,8.268e-01,6.835e-01,2.144e+00
40,2.144e+00,9.585e-01,9.188e-01,2.055e+00
41,2.055e+00,8.792e-01,7.730e-01,1.807e+00
42,1.807e+00,8.837e-01,7.809e-01,1.597e+00
43,1.597e+00,9.041e-01,8.173e-01,1.444e+00
44,1.444e+00,8.694e-01,7.559e-01,1.255e+00
45,1.255e+00,8.876e-01,7.878e-01,1.114e+00
46,1.114e+00,7.789e-01,6.067e-01,8.677e-01
47,8.677e-01,5.754e-01,3.311e-01,4.993e-01
48,4.993e-01,8.713e-01,7.591e-01,4.350e-01
49,4.350e-01,7.051e-01,4.972e-01,3.067e-01
50,3.067e-01,-,-,-
