i,sigma_i,sigma_{i+1}/sigma_i,(sigma_{i+1}/sigma_i)^2,sigma_i * (sigma_{i+1}/sigma_i)
1,6.789e+00,7.472e-01,5.584e-01,5.073e+00
2,5.073e+00,7.209e-01,5.197e-01,3.657e+00
3,3.657e+00,8.895e-01,7.912e-01,3.253e+00
4,3.253e+00,7.432e-01,5.524e-01,2.417e+00
5,2.417e+00,9.444e-01,8.919e-01,2.283e+00
6,2.283e+00,6.765e-01,4.577e-01,1.545e+00
7,1.545e+00,7.851e-01,6.164e-01,1.213e+00
8,1.213e+00,4.426e-01,1.959e-01,5.367e-01
9,5.367e-01,4.817e-01,2.321e-01,2.585e-01
10,2.585e-01,-,-,-
