i,sigma_i,sigma_{i+1}/sigma_i,(sigma_{i+1}/sigma_i)^2,sigma_i * (sigma_{i+1}/sigma_i)
1,5.586e+00,8.348e-01,6.970e-01,4.663e+00
2,4.663e+00,8.130e-01,6.610e-01,3.791e+00
3,3.791e+00,9.425e-01,8.883e-01,3.573e+00
4,3.573e+00,7.424e-01,5.512e-01,2.653e+00
5,2.653e+00,6.944e-01,4.822e-01,1.842e+00
6,1.842e+00,9.649e-01,9.310e-01,1.777e+00
7,1.777e+00,5.380e-01,2.895e-01,9.562e-01
8,9.562e-01,8.913e-01,7.943e-01,8.523e-01
9,8.523e-01,7.093e-01,5.031e-01,6.045e-01
10,6.045e-01,-,-,-
