i,sigma_i,sigma_{i+1}/sigma_i,(sigma_{i+1}/sigma_i)^2,sigma_i * (sigma_{i+1}/sigma_i)
1,1.948e+01,9.684e-01,9.377e-01,1.886e+01
2,1.886e+01,9.665e-01,9.340e-01,1.823e+01
3,1.823e+01,9.922e-01,9.845e-01,1.809e+01
4,1.809e+01,9.666e-01,9.344e-01,1.749e+01
5,1.749e+01,9.787e-01,9.578e-01,1.711e+01
6,1.711e+01,9.964e-01,9.928e-01,1.705e+01
7,1.705e+01,9.706e-01,9.420e-01,1.655e+01
8,1.655e+01,9.974e-01,9.947e-01,1.651e+01
9,1.651e+01,9.862e-01,9.726e-01,1.628e+01
10,1.628e+01,9.867e-01,9.736e-01,1.606e+01
11,1.606e+01,9.760e-01,9.525e-01,1.568e+01
12,1.568e+01,9.809e-01,9.622e-01,1.538e+01
13,1.538e+01,9.856e-01,9.715e-01,1.516e+01
14,1.516e+01,9.936e-01,9.872e-01,1.506e+01
15,1.506e+01,9.832e-01,9.668e-01,1.481e+01
16,1.481e+01,9.716e-01,9.441e-01,1.439e+01
17,1.439e+01,9.909e-01,9.818e-01,1.426e+01
18,1.426e+01,9.853e-01,9.708e-01,1.405e+01
19,1.405e+01,9.810e-01,9.624e-01,1.378e+01
20,1.378e+01,9.793e-01,9.591e-01,1.349e+01
21,1.349e+01,9.905e-01,9.810e-01,1.337e+01
22,1.337e+01,9.771e-01,9.547e-01,1.306e+01
23,1.306e+01,9.832e-01,9.667e-01,1.284e+01
24,1.284e+01,9.928e-01,9.857e-01,1.275e+01
25,1.275e+01,9.578e-01,9.173e-01,1.221e+01
26,1.221e+01,9.834e-01,9.671e-01,1.201e+01
27,1.201e+01,9.864e-01,9.729e-01,1.184e+01
28,1.184e+01,9.878e-01,9.757e-01,1.170e+01
29,1.170e+01,9.829e-01,9.660e-01,1.150e+01
30,1.150e+01,9.876e-01,9.753e-01,1.136e+01
31,1.136e+01,9.773e-01,9.551e-01,1.110e+01
32,1.110e+01,9.911e-01,9.823e-01,1.100e+01
33,1.100e+01,9.774e-01,9.554e-01,1.075e+01
34,1.075e+01,9.759e-01,9.524e-01,1.049e+01
35,1.049e+01,9.908e-01,9.817e-01,1.040e+01
36,1.040e+01,9.911e-01,9.823e-01,1.030e+01
37,1.030e+01,9.813e-01,9.629e-01,1.011e+01
38,1.011e+01,9.873e-01,9.748e-01,9.983e+00
39,9.983e+00,9.790e-01,9.584e-01,9.773e+00
40,9.773e+00,9.812e-01,9.628e-01,9.590e+00
41,9.590e+00,9.806e-01,9.616e-01,9.404e+00
42,9.404e+00,9.820e-01,9.643e-01,9.235e+00
43,9.235e+00,9.895e-01,9.791e-01,9.138e+00
44,9.138e+00,9.813e-01,9.629e-01,8.967e+00
45,8.967e+00,9.919e-01,9.839e-01,8.895e+00
46,8.895e+00,9.670e-01,9.351e-01,8.601e+00
47,8.601e+00,9.800e-01,9.604e-01,8.429e+00
48,8.429e+00,9.725e-01,9.457e-01,8.197e+00
49,8.197e+00,9.869e-01,9.739e-01,8.089e+00
50,8.089e+00,9.871e-01,9.744e-01,7.985e+00
51,7.985e+00,9.813e-01,9.629e-01,7.836e+00
52,7.836e+00,9.523e-01,9.069e-01,7.462e+00
53,7.462e+00,9.846e-01,9.694e-01,7.347e+00
54,7.347e+00,9.907e-01,9.815e-01,7.279e+00
55,7.279e+00,9.827e-01,9.658e-01,7.153e+00
56,7.153e+00,9.642e-01,9.297e-01,6.897e+00
57,6.897e+00,9.691e-01,9.392e-01,6.684e+00
58,6.684e+00,9.935e-01,9.870e-01,6.641e+00
59,6.641e+00,9.573e-01,9.164e-01,6.357e+00
