i,sigma_i,sigma_{i+1}/sigma_i,(sigma_{i+1}/sigma_i)^2,sigma_i * (sigma_{i+1}/sigma_i)
60,6.357e+00,9.640e-01,9.293e-01,6.128e+00
61,6.128e+00,9.854e-01,9.710e-01,6.038e+00
62,6.038e+00,9.891e-01,9.783e-01,5.973e+00
63,5.973e+00,9.818e-01,9.639e-01,5.864e+00
64,5.864e+00,9.497e-01,9.020e-01,5.569e+00
65,5.569e+00,9.732e-01,9.471e-01,5.420e+00
66,5.420e+00,9.922e-01,9.845e-01,5.377e+00
67,5.377e+00,9.643e-01,9.298e-01,5.185e+00
68,5.185e+00,9.919e-01,9.838e-01,5.143e+00
69,5.143e+00,9.747e-01,9.500e-01,5.013e+00
70,5.013e+00,9.369e-01,8.777e-01,4.696e+00
71,4.696e+00,9.615e-01,9.245e-01,4.516e+00
72,4.516e+00,9.647e-01,9.307e-01,4.356e+00
73,4.356e+00,9.824e-01,9.652e-01,4.280e+00
74,4.280e+00,9.540e-01,9.102e-01,4.083e+00
75,4.083e+00,9.465e-01,8.958e-01,3.865e+00
76,3.865e+00,9.779e-01,9.564e-01,3.779e+00
77,3.779e+00,9.224e-01,8.508e-01,3.486e+00
78,3.486e+00,9.612e-01,9.239e-01,3.351e+00
79,3.351e+00,9.513e-01,9.050e-01,3.187e+00
80,3.187e+00,9.640e-01,9.292e-01,3.073e+00
81,3.073e+00,9.547e-01,9.114e-01,2.933e+00
82,2.933e+00,9.359e-01,8.759e-01,2.745e+00
83,2.745e+00,9.454e-01,8.938e-01,2.595e+00
84,2.595e+00,9.592e-01,9.201e-01,2.490e+00
85,2.490e+00,9.480e-01,8.987e-01,2.360e+00
86,2.360e+00,9.331e-01,8.706e-01,2.202e+00
87,2.202e+00,9.072e-01,8.230e-01,1.998e+00
88,1.998e+00,9.586e-01,9.188e-01,1.915e+00
89,1.915e+00,8.653e-01,7.488e-01,1.657e+00
90,1.657e+00,8.920e-01,7.956e-01,1.478e+00
91,1.478e+00,8.996e-01,8.093e-01,1.330e+00
92,1.330e+00,8.481e-01,7.193e-01,1.128e+00
93,1.128e+00,7.885e-01,6.218e-01,8.892e-01
94,8.892e-01,7.833e-01,6.136e-01,6.966e-01
95,6.966e-01,9.922e-01,9.844e-01,6.911e-01
96,6.911e-01,8.452e-01,7.144e-01,5.842e-01
97,5.842e-01,8.050e-01,6.480e-01,4.702e-01
98,4.702e-01,7.334e-01,5.379e-01,3.449e-01
99,3.449e-01,8.940e-02,7.993e-03,3.083e-02
100,3.083e-02,-,-,-
