i,sigma_i,sigma_{i+1}/sigma_i,(sigma_{i+1}/sigma_i)^2,sigma_i * (sigma_{i+1}/sigma_i)
1,1.363e+01,9.525e-01,9.073e-01,1.298e+01
2,1.298e+01,9.760e-01,9.526e-01,1.267e+01
3,1.267e+01,9.698e-01,9.405e-01,1.229e+01
4,1.229e+01,9.615e-01,9.244e-01,1.182e+01
5,1.182e+01,9.776e-01,9.556e-01,1.155e+01
6,1.155e+01,9.611e-01,9.236e-01,1.110e+01
7,1.110e+01,9.848e-01,9.698e-01,1.093e+01
8,1.093e+01,9.614e-01,9.243e-01,1.051e+01
9,1.051e+01,9.726e-01,9.459e-01,1.022e+01
10,1.022e+01,9.728e-01,9.464e-01,9.945e+00
11,9.945e+00,9.569e-01,9.157e-01,9.516e+00
12,9.516e+00,9.662e-01,9.335e-01,9.194e+00
13,9.194e+00,9.798e-01,9.601e-01,9.009e+00
14,9.009e+00,9.790e-01,9.584e-01,8.819e+00
15,8.819e+00,9.699e-01,9.407e-01,8.554e+00
16,8.554e+00,9.759e-01,9.523e-01,8.348e+00
17,8.348e+00,8.939e-01,7.990e-01,7.461e+00
18,7.461e+00,9.881e-01,9.763e-01,7.373e+00
19,7.373e+00,9.876e-01,9.754e-01,7.282e+00
20,7.282e+00,9.425e-01,8.884e-01,6.863e+00
21,6.863e+00,9.750e-01,9.507e-01,6.692e+00
22,6.692e+00,9.496e-01,9.016e-01,6.354e+00
23,6.354e+00,9.740e-01,9.486e-01,6.189e+00
24,6.189e+00,9.813e-01,9.630e-01,6.073e+00
25,6.073e+00,9.518e-01,9.059e-01,5.780e+00
26,5.780e+00,9.703e-01,9.416e-01,5.609e+00
27,5.609e+00,9.441e-01,8.913e-01,5.295e+00
28,5.295e+00,9.688e-01,9.386e-01,5.130e+00
29,5.130e+00,9.193e-01,8.452e-01,4.716e+00
30,4.716e+00,9.707e-01,9.422e-01,4.578e+00
31,4.578e+00,9.138e-01,8.351e-01,4.184e+00
32,4.184e+00,9.345e-01,8.732e-01,3.909e+00
33,3.909e+00,9.564e-01,9.146e-01,3.739e+00
34,3.739e+00,9.250e-01,8.557e-01,3.458e+00
35,3.458e+00,9.686e-01,9.382e-01,3.350e+00
36,3.350e+00,9.476e-01,8.980e-01,3.175e+00
37,3.175e+00,9.301e-01,8.651e-01,2.953e+00
38,2.953e+00,9.349e-01,8.740e-01,2.760e+00
39,2.760e+00,9.436e-01,8.904e-01,2.605e+00
40,2.605e+00,8.831e-01,7.799e-01,2.300e+00
41,2.300e+00,8.498e-01,7.222e-01,1.955e+00
42,1.955e+00,8.817e-01,7.774e-01,1.724e+00
43,1.724e+00,9.151e-01,8.375e-01,1.577e+00
44,1.577e+00,7.721e-01,5.962e-01,1.218e+00
45,1.218e+00,7.778e-01,6.050e-01,9.474e-01
46,9.474e-01,8.473e-01,7.180e-01,8.027e-01
47,8.027e-01,9.467e-01,8.962e-01,7.599e-01
48,7.599e-01,4.580e-01,2.098e-01,3.480e-01
49,3.480e-01,2.737e-01,7.493e-02,9.527e-02
50,9.527e-02,-,-,-
